[13:04:05] [LOGGING]	 STARTING LOGGING
[13:33:16] [PLAYER]	 [0]End Player
[13:33:16] [PLAYER]	 [0]speaking false
[13:33:16] [TTS]	 End speaking
[13:33:16] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,001
[13:33:16] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle => 0,683381
[13:33:17] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure est => 0,7503392
[13:33:17] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure est il => 0,8015691
[13:33:17] [ENGINE - Default]	 RECOGNIZED Speech: 0,8002638 (0,65) / 0,8431743 (OVER) Device:  Text: OVER quelle heure est il
[13:33:17] [ENGINE - Default]	 RECOGNIZED Speech: 0,8002638 (0,65) / 0,8431743 (OVER) Device:  Text: OVER quelle heure est il
[13:33:17] [CONTEXT]	 Reset timeout
[13:33:17] [HTTP]	 Build HttpRequest: http://127.0.0.1:8080/sarah/time?confidence=0.8002638&client=OVER1&profile=Unknow_7569&directory=D%3a%5cDev%5cDev-O.V.E.R%5cO.V.E.R%5cmacros
[13:33:17] [HTTP]	 Send HttpRequest: http://127.0.0.1:8080/sarah/time?confidence=0.8002638&client=OVER1&profile=Unknow_7569&directory=D:%5cDev%5cDev-O.V.E.R%5cO.V.E.R%5cmacros
[13:33:17] [TTS]	 Try speaking ... il est 13 heure 33 
[13:33:17] [TTS]	 [0] Say: il est 13 heure 33 
[13:33:17] [PLAYER]	 [0]Start Player
[13:33:20] [PLAYER]	 [0]End Player
[13:33:20] [PLAYER]	 [0]speaking false
[13:33:20] [TTS]	 End speaking
[13:33:20] [ENGINE - Default]	 SpeechRecognized: 2861,1958ms Text: OVER quelle heure est il
[13:33:20] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il est => 0,1301248
[13:33:20] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,3328395
[13:33:20] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER fais voir => 0,2046063
[13:33:20] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER fais voir la => 0,2035451
[13:33:20] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER ouvre => 0,1998903
[13:33:20] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER on veut => 0,2704705
[13:33:21] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER on veut se => 0,1955379
[13:33:21] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER relance ton systaime => 0,4833912
[13:33:23] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,6899273
[13:33:24] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER relance => 0,6932473
[13:33:24] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER lance => 0,3946243
[13:33:24] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER relance ton systaime => 0,7662681
[13:33:24] [ENGINE - Default]	 RECOGNIZED Speech: 0,7760473 (0,65) / 0,8870254 (OVER) Device:  Text: OVER relance ton systaime
[13:33:24] [ENGINE - Default]	 RECOGNIZED Speech: 0,7760473 (0,65) / 0,8870254 (OVER) Device:  Text: OVER relance ton systaime
[13:33:24] [CONTEXT]	 Reset timeout
[13:33:24] [HTTP]	 Build HttpRequest: http://127.0.0.1:8080/sarah/jarvis?val=reboot-over&confidence=0.7760473&client=OVER1&profile=Unknow_7569&directory=D%3a%5cDev%5cDev-O.V.E.R%5cO.V.E.R%5cmacros
[13:33:24] [HTTP]	 Send HttpRequest: http://127.0.0.1:8080/sarah/jarvis?val=reboot-over&confidence=0.7760473&client=OVER1&profile=Unknow_7569&directory=D:%5cDev%5cDev-O.V.E.R%5cO.V.E.R%5cmacros
[13:33:24] [TTS]	 Try speaking ... Je relance mon système
[13:33:25] [TTS]	 [0] Say: Je relance mon système
[13:33:25] [PLAYER]	 [0]Start Player
[13:33:27] [PLAYER]	 [0]End Player
[13:33:27] [PLAYER]	 [0]speaking false
[13:33:27] [TTS]	 End speaking
[13:33:27] [ENGINE - Default]	 SpeechRecognized: 2841,6227ms Text: OVER relance ton systaime
[13:33:27] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,001
[13:33:27] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER va => 0,08985058
[13:33:27] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER affiche la vue => 0,1004905
[13:33:27] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER va => 0,08985058
[13:33:47] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,001
[13:33:47] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il est => 0,1908994
[13:33:54] [LOGGING]	 STARTING LOGGING
[13:33:54] [INIT]	 ==========================================
[13:33:54] [INIT]	 S.A.R.A.H. => MICRO
[13:33:54] [INIT]	 ==========================================
[13:33:54] [INIT]	 Server: http://127.0.0.1:8080
[13:33:54] [INIT]	 Confidence: 0,65
[13:33:54] [INIT]	 ==========================================
[13:33:54] [HTTP]	 Exception: Failed to start HTTP server
[13:33:54] [HTTP]	 Exception: Failed to start HTTP server
[13:33:54] [WATCHER]	 Stop watching
[13:33:54] [GRAMMAR]	 Load file: time.xml : D:\Dev\Dev-O.V.E.R\O.V.E.R\macros\time.xml
[13:33:54] [GRAMMAR]	 Add to context list: time.xml
[13:33:54] [WATCHER]	 Watching directory: macros
[13:33:54] [GRAMMAR]	 Load file: jarvis.xml : D:\Dev\Dev-O.V.E.R\O.V.E.R\plugins\jarvis\jarvis.xml
[13:33:54] [GRAMMAR]	 Add to context list: jarvis.xml
[13:33:54] [WATCHER]	 Watching directory: plugins
[13:33:55] [WATCHER]	 Start watching
[13:33:55] [GRAMMAR]	 Context: default
[13:33:55] [GRAMMAR]	 Context: time.xml, jarvis.xml
[13:33:55] [GRAMMAR]	 File: Load Grammar to Engine
[13:33:55] [GRAMMAR]	 File: Load: time.xml Enabled: True
[13:33:55] [GRAMMAR]	 File: Load Grammar to Engine
[13:33:55] [GRAMMAR]	 File: Load: jarvis.xml Enabled: True
[13:33:55] [ENGINE - File]	 Init recognizer
[13:33:55] [ENGINE - File]	 AudioLevel: 0
[13:33:55] [ENGINE - File]	 MaxAlternates: 1
[13:33:55] [ENGINE - File]	 BabbleTimeout: 00:00:00
[13:33:55] [ENGINE - File]	 InitialSilenceTimeout: 00:00:00
[13:33:55] [ENGINE - File]	 EndSilenceTimeout: 00:00:00.1500000
[13:33:55] [ENGINE - File]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[13:33:55] [GRAMMAR]	 Default: Load Grammar to Engine
[13:33:55] [GRAMMAR]	 Default: Load: time.xml Enabled: True
[13:33:55] [GRAMMAR]	 Default: Load Grammar to Engine
[13:33:55] [GRAMMAR]	 Default: Load: jarvis.xml Enabled: True
[13:33:55] [ENGINE - Default]	 Init recognizer
[13:33:55] [ENGINE - Default]	 AudioLevel: 0
[13:33:55] [ENGINE - Default]	 MaxAlternates: 1
[13:33:55] [ENGINE - Default]	 BabbleTimeout: 00:00:00
[13:33:55] [ENGINE - Default]	 InitialSilenceTimeout: 00:00:00
[13:33:55] [ENGINE - Default]	 EndSilenceTimeout: 00:00:00.1500000
[13:33:55] [ENGINE - Default]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[13:33:56] [ENGINE - Default]	 Start listening
[13:33:56] [ENGINE]	 [Default] AudioFormatPcm channel: 1 AB/S: 32000 B/S: 16
[13:33:56] [ENGINE]	 [Default] level: 0 state: Stopped
[13:33:56] [TTS]	 Add Speaker Device: 0 Product: Haut-parleurs (Périphérique Hig Channels: 2 Playback: True
[13:33:56] [TTS]	 [0]Name: Microsoft Hortense Desktop Culture: fr-FR
[13:33:56] [TTS]	 [0]Name: Microsoft Zira Desktop Culture: en-US
[13:33:56] [TTS]	 [0]Name: ScanSoft Sebastien_Full_22kHz Culture: fr-FR
[13:33:56] [ENGINE]	 Restart timeout: 3600000
[13:34:00] [HTTP]	 Request received: http://127.0.0.1:8888/?tts=initialisation%20termin%C3%A9.%20Bonjours%20monsieur%2C%20que%20puije%20faire%20pour%20vous%3F
[13:34:00] [TTS]	 Try speaking ... initialisation terminé. Bonjours monsieur, que puije faire pour vous?
[13:34:00] [TTS]	 [0] Say: initialisation terminé. Bonjours monsieur, que puije faire pour vous?
[13:34:01] [PLAYER]	 [0]Start Player
[13:34:01] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,001
[13:34:01] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il => 0,001
[13:34:02] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il est => 0,2754631
[13:34:02] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER va => 0,3262207
[13:34:02] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,001
[13:34:02] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER réveilles => 0,2438644
[13:34:02] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER va sur => 0,1139891
[13:34:02] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER va sur le => 0,1259063
[13:34:03] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER fais voir les => 0,1478675
[13:34:04] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,001
[13:34:04] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER ferme => 0,2163604
[13:34:05] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle => 0,216924
[13:34:05] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure => 0,2276532
[13:34:05] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER ferme les mail => 0,292459
[13:34:06] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure => 0,2248413
[13:34:06] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure est => 0,1748933
[13:34:06] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure => 0,3179981
[13:34:06] [PLAYER]	 [0]End Player
[13:34:06] [PLAYER]	 [0]speaking false
[13:34:06] [TTS]	 End speaking
[13:34:07] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,8958801
[13:34:07] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,8162124
[13:34:07] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il => 0,7292573
[13:34:08] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER va => 0,6719927
[13:34:08] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure est => 0,8908763
[13:34:08] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure est il => 0,7857026
[13:34:08] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure est il => 0,7482889
[13:34:08] [ENGINE - Default]	 RECOGNIZED Speech: 0,7881348 (0,65) / 0,8929237 (OVER) Device:  Text: OVER quelle heure est il
[13:34:08] [ENGINE - Default]	 RECOGNIZED Speech: 0,7881348 (0,65) / 0,8929237 (OVER) Device:  Text: OVER quelle heure est il
[13:34:08] [CONTEXT]	 Reset timeout
[13:34:08] [HTTP]	 Build HttpRequest: http://127.0.0.1:8080/sarah/time?confidence=0.7881348&client=OVER1&profile=Unknow_7569&directory=D%3a%5cDev%5cDev-O.V.E.R%5cO.V.E.R%5cmacros
[13:34:08] [HTTP]	 Send HttpRequest: http://127.0.0.1:8080/sarah/time?confidence=0.7881348&client=OVER1&profile=Unknow_7569&directory=D:%5cDev%5cDev-O.V.E.R%5cO.V.E.R%5cmacros
[13:34:08] [HTTP]	 Build HttpRequest: http://127.0.0.1:8080/sarah/time?confidence=0.7482889&client=OVER1&profile=Unknow_8792&directory=D%3a%5cDev%5cDev-O.V.E.R%5cO.V.E.R%5cmacros
[13:34:08] [TTS]	 Try speaking ... il est 13 heure 34 
[13:34:08] [TTS]	 [0] Say: il est 13 heure 34 
[13:34:08] [TTS]	 Try speaking ... il est 13 heure 34 
[13:34:09] [TTS]	 [0] Say: il est 13 heure 34 
[13:34:09] [PLAYER]	 [0]Start Player
[13:34:09] [PLAYER]	 [0]Start Player
[13:34:11] [PLAYER]	 [0]End Player
[13:34:11] [PLAYER]	 [0]speaking false
[13:34:11] [TTS]	 End speaking
[13:34:11] [ENGINE - Default]	 SpeechRecognized: 2854,1145ms Text: OVER quelle heure est il
[13:34:11] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,2664777
[13:34:11] [PLAYER]	 [0]End Player
[13:34:11] [PLAYER]	 [0]speaking false
[13:34:11] [TTS]	 End speaking
[13:34:11] [ENGINE - Default]	 SpeechRecognized: 2988,5865ms Text: OVER quelle heure est il
[13:34:11] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,2270072
[13:34:11] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER fais => 0,3100663
[13:34:11] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER va => 0,3441622
[13:34:17] [RTPCLIENT]	 Stop RTPClient
[13:34:17] [RTPCLIENT]	 Stop RTPClient
[13:34:17] [RTPCLIENT]	 Stop RTPClient ... Done
[13:34:17] [RTPCLIENT]	 Stop RTPClient ... Done
[13:34:17] [ENGINE - File]	 Stop listening...done
[13:34:17] [ENGINE - Default]	 Stop listening...done
[13:34:17] [ENGINE - Default]	 RecognizeCompleted (34:17.2): <null>
[13:34:18] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,001
[13:34:18] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle => 0,7487487
[13:34:18] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure est => 0,6980152
[13:34:19] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure est il => 0,7584116
[13:34:19] [ENGINE - Default]	 RECOGNIZED Speech: 0,7618235 (0,65) / 0,8584884 (OVER) Device:  Text: OVER quelle heure est il
[13:34:19] [ENGINE - Default]	 RECOGNIZED Speech: 0,7618235 (0,65) / 0,8584884 (OVER) Device:  Text: OVER quelle heure est il
[13:34:19] [CONTEXT]	 Reset timeout
[13:34:19] [HTTP]	 Build HttpRequest: http://127.0.0.1:8080/sarah/time?confidence=0.7618235&client=OVER1&profile=Unknow_8792&directory=D%3a%5cDev%5cDev-O.V.E.R%5cO.V.E.R%5cmacros
[13:34:19] [HTTP]	 Send HttpRequest: http://127.0.0.1:8080/sarah/time?confidence=0.7618235&client=OVER1&profile=Unknow_8792&directory=D:%5cDev%5cDev-O.V.E.R%5cO.V.E.R%5cmacros
[13:34:19] [TTS]	 Try speaking ... il est 13 heure 34 
[13:34:19] [TTS]	 [0] Say: il est 13 heure 34 
[13:34:19] [PLAYER]	 [0]Start Player
[13:34:22] [PLAYER]	 [0]End Player
[13:34:22] [PLAYER]	 [0]speaking false
[13:34:22] [TTS]	 End speaking
[13:34:22] [ENGINE - Default]	 SpeechRecognized: 2733,3934ms Text: OVER quelle heure est il
[13:34:22] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,2514935
[13:34:22] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure => 0,3170347
[13:34:22] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,2568769
[13:34:22] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER fais => 0,2784187
[13:34:27] [LOGGING]	 STARTING LOGGING
[13:34:27] [INIT]	 ==========================================
[13:34:27] [INIT]	 S.A.R.A.H. => MICRO
[13:34:27] [INIT]	 ==========================================
[13:34:27] [INIT]	 Server: http://127.0.0.1:8080
[13:34:27] [INIT]	 Confidence: 0,65
[13:34:27] [INIT]	 ==========================================
[13:34:27] [INIT]	 Starting Server: http://192.168.1.151:8888/
[13:34:27] [INIT]	 Starting Server: http://127.0.0.1:8888/
[13:34:27] [WATCHER]	 Stop watching
[13:34:27] [GRAMMAR]	 Load file: time.xml : D:\Dev\Dev-O.V.E.R\O.V.E.R\macros\time.xml
[13:34:27] [GRAMMAR]	 Add to context list: time.xml
[13:34:27] [WATCHER]	 Watching directory: macros
[13:34:27] [GRAMMAR]	 Load file: jarvis.xml : D:\Dev\Dev-O.V.E.R\O.V.E.R\plugins\jarvis\jarvis.xml
[13:34:27] [GRAMMAR]	 Add to context list: jarvis.xml
[13:34:28] [WATCHER]	 Watching directory: plugins
[13:34:28] [WATCHER]	 Start watching
[13:34:28] [GRAMMAR]	 Context: default
[13:34:28] [GRAMMAR]	 Context: time.xml, jarvis.xml
[13:34:28] [GRAMMAR]	 File: Load Grammar to Engine
[13:34:28] [GRAMMAR]	 File: Load: time.xml Enabled: True
[13:34:28] [GRAMMAR]	 File: Load Grammar to Engine
[13:34:28] [GRAMMAR]	 File: Load: jarvis.xml Enabled: True
[13:34:28] [ENGINE - File]	 Init recognizer
[13:34:28] [ENGINE - File]	 AudioLevel: 0
[13:34:28] [ENGINE - File]	 MaxAlternates: 1
[13:34:28] [ENGINE - File]	 BabbleTimeout: 00:00:00
[13:34:28] [ENGINE - File]	 InitialSilenceTimeout: 00:00:00
[13:34:28] [ENGINE - File]	 EndSilenceTimeout: 00:00:00.1500000
[13:34:28] [ENGINE - File]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[13:34:28] [GRAMMAR]	 Default: Load Grammar to Engine
[13:34:28] [GRAMMAR]	 Default: Load: time.xml Enabled: True
[13:34:28] [GRAMMAR]	 Default: Load Grammar to Engine
[13:34:28] [GRAMMAR]	 Default: Load: jarvis.xml Enabled: True
[13:34:28] [ENGINE - Default]	 Init recognizer
[13:34:28] [ENGINE - Default]	 AudioLevel: 0
[13:34:28] [ENGINE - Default]	 MaxAlternates: 1
[13:34:28] [ENGINE - Default]	 BabbleTimeout: 00:00:00
[13:34:29] [ENGINE - Default]	 InitialSilenceTimeout: 00:00:00
[13:34:29] [ENGINE - Default]	 EndSilenceTimeout: 00:00:00.1500000
[13:34:29] [ENGINE - Default]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[13:34:29] [ENGINE - Default]	 Start listening
[13:34:29] [ENGINE]	 [Default] AudioFormatPcm channel: 1 AB/S: 32000 B/S: 16
[13:34:29] [ENGINE]	 [Default] level: 0 state: Stopped
[13:34:29] [TTS]	 Add Speaker Device: 0 Product: Haut-parleurs (Périphérique Hig Channels: 2 Playback: True
[13:34:29] [TTS]	 [0]Name: Microsoft Hortense Desktop Culture: fr-FR
[13:34:29] [TTS]	 [0]Name: Microsoft Zira Desktop Culture: en-US
[13:34:29] [TTS]	 [0]Name: ScanSoft Sebastien_Full_22kHz Culture: fr-FR
[13:34:29] [ENGINE]	 Restart timeout: 3600000
[13:34:34] [HTTP]	 Request received: http://127.0.0.1:8888/?tts=initialisation%20termin%C3%A9.%20Bonjours%20monsieur%2C%20que%20puije%20faire%20pour%20vous%3F
[13:34:34] [TTS]	 Try speaking ... initialisation terminé. Bonjours monsieur, que puije faire pour vous?
[13:34:34] [TTS]	 [0] Say: initialisation terminé. Bonjours monsieur, que puije faire pour vous?
[13:34:34] [PLAYER]	 [0]Start Player
[13:34:35] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il => 0,001
[13:34:35] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure => 0,05174863
[13:34:35] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER fais => 0,1555753
[13:34:35] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure est => 0,1326713
[13:34:36] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER fais voir => 0,001
[13:34:36] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER fais voir mes => 0,1245077
[13:34:37] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure est il => 0,02699939
[13:34:38] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER fais voir mes images => 0,09931456
[13:34:38] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER fais voir la => 0,2232971
[13:34:38] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure est il => 0,06703068
[13:34:39] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER fais voir le forum => 0,04978262
[13:34:40] [PLAYER]	 [0]End Player
[13:34:40] [PLAYER]	 [0]speaking false
[13:34:40] [TTS]	 End speaking
[13:34:41] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,9379755
[13:34:41] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle => 0,7820933
[13:34:42] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure est => 0,8970357
[13:34:42] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure est il => 0,8427999
[13:34:42] [ENGINE - Default]	 RECOGNIZED Speech: 0,8432353 (0,65) / 0,8760561 (OVER) Device:  Text: OVER quelle heure est il
[13:34:42] [ENGINE - Default]	 RECOGNIZED Speech: 0,8432353 (0,65) / 0,8760561 (OVER) Device:  Text: OVER quelle heure est il
[13:34:42] [CONTEXT]	 Reset timeout
[13:34:42] [HTTP]	 Build HttpRequest: http://127.0.0.1:8080/sarah/time?confidence=0.8432353&client=OVER1&profile=Unknow_2908&directory=D%3a%5cDev%5cDev-O.V.E.R%5cO.V.E.R%5cmacros
[13:34:42] [HTTP]	 Send HttpRequest: http://127.0.0.1:8080/sarah/time?confidence=0.8432353&client=OVER1&profile=Unknow_2908&directory=D:%5cDev%5cDev-O.V.E.R%5cO.V.E.R%5cmacros
[13:34:43] [TTS]	 Try speaking ... il est 13 heure 34 
[13:34:43] [TTS]	 [0] Say: il est 13 heure 34 
[13:34:43] [PLAYER]	 [0]Start Player
[13:34:45] [PLAYER]	 [0]End Player
[13:34:45] [PLAYER]	 [0]speaking false
[13:34:45] [TTS]	 End speaking
[13:34:45] [ENGINE - Default]	 SpeechRecognized: 2894,0524ms Text: OVER quelle heure est il
[13:34:45] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,5268433
[13:34:45] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il est => 0,3537786
[13:34:45] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER met a => 0,450408
[13:34:45] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER met a jour => 0,3822697
[13:34:45] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,5394143
[13:34:45] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER met => 0,3280236
[13:34:45] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER relance ton => 0,3678612
[13:34:45] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER balance les => 0,3992432
[13:34:46] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER relance ton systaime => 0,5389422
[13:34:47] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,861594
[13:34:48] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER relance => 0,6666116
[13:34:48] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER relance ton => 0,8833181
[13:34:49] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER relance ton systaime => 0,9018176
[13:34:49] [ENGINE - Default]	 RECOGNIZED Speech: 0,9018228 (0,65) / 0,9218242 (OVER) Device:  Text: OVER relance ton systaime
[13:34:49] [ENGINE - Default]	 RECOGNIZED Speech: 0,9018228 (0,65) / 0,9218242 (OVER) Device:  Text: OVER relance ton systaime
[13:34:49] [CONTEXT]	 Reset timeout
[13:34:49] [HTTP]	 Build HttpRequest: http://127.0.0.1:8080/sarah/jarvis?val=reboot-over&confidence=0.9018228&client=OVER1&profile=Unknow_2908&directory=D%3a%5cDev%5cDev-O.V.E.R%5cO.V.E.R%5cmacros
[13:34:49] [HTTP]	 Send HttpRequest: http://127.0.0.1:8080/sarah/jarvis?val=reboot-over&confidence=0.9018228&client=OVER1&profile=Unknow_2908&directory=D:%5cDev%5cDev-O.V.E.R%5cO.V.E.R%5cmacros
[13:34:49] [TTS]	 Try speaking ... Je relance mon système
[13:34:49] [TTS]	 [0] Say: Je relance mon système
[13:34:49] [PLAYER]	 [0]Start Player
[13:34:51] [PLAYER]	 [0]End Player
[13:34:52] [PLAYER]	 [0]speaking false
[13:34:52] [TTS]	 End speaking
[13:34:52] [ENGINE - Default]	 SpeechRecognized: 2888,0196ms Text: OVER relance ton systaime
[13:34:52] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,001
[13:34:52] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER va => 0,2379504
[13:34:56] [RTPCLIENT]	 Stop RTPClient
[13:34:56] [RTPCLIENT]	 Stop RTPClient
[13:34:56] [RTPCLIENT]	 Stop RTPClient ... Done
[13:34:56] [RTPCLIENT]	 Stop RTPClient ... Done
[13:34:56] [ENGINE - File]	 Stop listening...done
[13:34:56] [ENGINE - Default]	 Stop listening...done
[13:35:09] [LOGGING]	 STARTING LOGGING
[13:35:09] [INIT]	 ==========================================
[13:35:09] [INIT]	 S.A.R.A.H. => MICRO
[13:35:09] [INIT]	 ==========================================
[13:35:09] [INIT]	 Server: http://127.0.0.1:8080
[13:35:09] [INIT]	 Confidence: 0,65
[13:35:09] [INIT]	 ==========================================
[13:35:09] [INIT]	 Starting Server: http://192.168.1.151:8888/
[13:35:09] [INIT]	 Starting Server: http://127.0.0.1:8888/
[13:35:09] [WATCHER]	 Stop watching
[13:35:09] [GRAMMAR]	 Load file: time.xml : D:\Dev\Dev-O.V.E.R\O.V.E.R\macros\time.xml
[13:35:09] [GRAMMAR]	 Add to context list: time.xml
[13:35:09] [WATCHER]	 Watching directory: macros
[13:35:09] [GRAMMAR]	 Load file: jarvis.xml : D:\Dev\Dev-O.V.E.R\O.V.E.R\plugins\jarvis\jarvis.xml
[13:35:09] [GRAMMAR]	 Add to context list: jarvis.xml
[13:35:09] [WATCHER]	 Watching directory: plugins
[13:35:10] [WATCHER]	 Start watching
[13:35:10] [GRAMMAR]	 Context: default
[13:35:10] [GRAMMAR]	 Context: time.xml, jarvis.xml
[13:35:10] [GRAMMAR]	 File: Load Grammar to Engine
[13:35:10] [GRAMMAR]	 File: Load: time.xml Enabled: True
[13:35:10] [GRAMMAR]	 File: Load Grammar to Engine
[13:35:10] [GRAMMAR]	 File: Load: jarvis.xml Enabled: True
[13:35:10] [ENGINE - File]	 Init recognizer
[13:35:10] [ENGINE - File]	 AudioLevel: 0
[13:35:10] [ENGINE - File]	 MaxAlternates: 1
[13:35:10] [ENGINE - File]	 BabbleTimeout: 00:00:00
[13:35:10] [ENGINE - File]	 InitialSilenceTimeout: 00:00:00
[13:35:10] [ENGINE - File]	 EndSilenceTimeout: 00:00:00.1500000
[13:35:10] [ENGINE - File]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[13:35:10] [GRAMMAR]	 Default: Load Grammar to Engine
[13:35:10] [GRAMMAR]	 Default: Load: time.xml Enabled: True
[13:35:10] [GRAMMAR]	 Default: Load Grammar to Engine
[13:35:10] [GRAMMAR]	 Default: Load: jarvis.xml Enabled: True
[13:35:10] [ENGINE - Default]	 Init recognizer
[13:35:10] [ENGINE - Default]	 AudioLevel: 0
[13:35:10] [ENGINE - Default]	 MaxAlternates: 1
[13:35:10] [ENGINE - Default]	 BabbleTimeout: 00:00:00
[13:35:10] [ENGINE - Default]	 InitialSilenceTimeout: 00:00:00
[13:35:10] [ENGINE - Default]	 EndSilenceTimeout: 00:00:00.1500000
[13:35:10] [ENGINE - Default]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[13:35:10] [ENGINE - Default]	 Start listening
[13:35:11] [ENGINE]	 [Default] AudioFormatPcm channel: 1 AB/S: 32000 B/S: 16
[13:35:11] [ENGINE]	 [Default] level: 0 state: Stopped
[13:35:11] [TTS]	 Add Speaker Device: 0 Product: Haut-parleurs (Périphérique Hig Channels: 2 Playback: True
[13:35:11] [TTS]	 [0]Name: Microsoft Hortense Desktop Culture: fr-FR
